epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,497.069,1.12124,0.64386,1.02184,0.89537,0.83254,0.85385,0.41336,1.68972,0.82884,1.32585,0.000297232,0.000297232,0.000297232
82,503.52,1.05748,0.59784,1.01974,0.88492,0.7912,0.83385,0.40339,1.71468,0.85753,1.34633,0.000283085,0.000283085,0.000283085
83,509.232,1.12451,0.62042,1.04057,0.84957,0.76655,0.81938,0.39562,1.70493,0.8851,1.34074,0.000268938,0.000268938,0.000268938
84,515.417,1.03605,0.56151,1.00324,0.82383,0.76272,0.82446,0.41671,1.69801,0.8785,1.34403,0.000254791,0.000254791,0.000254791
85,521.26,1.11101,0.62002,1.00793,0.84941,0.76655,0.82829,0.42983,1.6953,0.85187,1.34011,0.000240644,0.000240644,0.000240644
86,527.485,1.11169,0.6351,1.0205,0.7862,0.83099,0.82614,0.42696,1.69538,0.86247,1.33697,0.000226497,0.000226497,0.000226497
87,533.517,1.01432,0.58134,1.00968,0.82709,0.80069,0.83468,0.42204,1.67438,0.8725,1.31216,0.000212349,0.000212349,0.000212349
88,539.794,1.10994,0.61468,1.0572,0.86601,0.79352,0.82259,0.41374,1.66199,0.87404,1.30193,0.000198202,0.000198202,0.000198202
89,546.051,1.00656,0.53468,0.9976,0.85343,0.79153,0.82533,0.41772,1.69497,0.88065,1.30927,0.000184055,0.000184055,0.000184055
90,552.408,1.03159,0.55508,1.00941,0.84194,0.78762,0.82028,0.40751,1.70873,0.88553,1.31938,0.000169908,0.000169908,0.000169908
91,560.419,1.07687,0.56127,1.05427,0.82505,0.78751,0.81668,0.40864,1.69411,0.87991,1.32537,0.000155761,0.000155761,0.000155761
92,566.868,1.0789,0.57971,1.09502,0.85589,0.82233,0.84533,0.42367,1.68475,0.85759,1.324,0.000141614,0.000141614,0.000141614
93,572.834,1.03523,0.57501,1.0292,0.82183,0.82685,0.8401,0.40725,1.68044,0.83673,1.33315,0.000127467,0.000127467,0.000127467
94,579.051,1.00794,1.18304,0.97711,0.81324,0.8512,0.84312,0.40778,1.68895,0.82392,1.3495,0.00011332,0.00011332,0.00011332
95,585.088,1.01278,0.54879,1.04363,0.81381,0.86129,0.8434,0.41214,1.69495,0.82415,1.35733,9.91726e-05,9.91726e-05,9.91726e-05
96,591.175,1.00024,0.5477,1.00746,0.81346,0.86129,0.85197,0.41701,1.69443,0.8148,1.36206,8.50255e-05,8.50255e-05,8.50255e-05
97,597.281,1.03012,0.58694,1.04914,0.80612,0.8531,0.85133,0.42312,1.69222,0.80534,1.36117,7.08784e-05,7.08784e-05,7.08784e-05
98,603.12,1.00883,0.58118,1.02546,0.84262,0.81514,0.85761,0.43423,1.69035,0.80449,1.35762,5.67313e-05,5.67313e-05,5.67313e-05
99,609.489,1.04465,0.5971,1.04463,0.8237,0.82716,0.85735,0.42383,1.70086,0.80515,1.36336,4.25842e-05,4.25842e-05,4.25842e-05
100,615.08,0.96679,0.54408,1.02167,0.83024,0.82716,0.85733,0.42717,1.69861,0.80408,1.3604,2.84371e-05,2.84371e-05,2.84371e-05
